Id_Direccion;Dirección;referencia_direc
4708;AV. 9 DE OCTUBRE # 2011 Y LOS RIOS;
4709;BARRIO MARIA AUXILIADORA - AYAMPE;
4710;QUITO 18-104 Y FELIX VALENCIA;
4711;AV. GONZáLEZ SUáREZ N27-374 y san ignacio;FRENTE AL COLEGIO LA INMACULADA
4712;AVENIDA MALECON ENTRE CALLE 19 Y 20;
4713;CALLE 5 S/N CALLE 14; PARROQUIA JOSE LUIS TAMAYO ATRAS DE CLINICA GRANADOS 
4714;LUIS VERNAZA #211 Y ESMERALDAS LOCAL 1 ;
4715;MONTAÑITA CALLE SEGUNDO ROSALES Y AV. 3 A;
4716;AV. 27 DE NOVIEMBRE  S/N CALABI; JUNTO A LA CORPORACION NACIONAL DE TELECOMUNICACIONES 
4717;SAUCES 4 MZ-369 VILLA 34;
4718;CDLA LA PRADERA DOS MZ 32 SOLAR 41 ;
4719;COLON 833 Y LORENZO DE GARAICOA;
4720;B. ENRIQUEZ GALLOS ENTRE CALLES 32 Y 33;
4721;6 DE MARZO 3029 Y PORTETE;
4722;SAN MARTIN 1144 Y VILLAVICENCIO;
4723;CALLE GEOVANNI FARINO LOTE 02 E ISLA ESPAÑOLA;
4724;CDLA. LA FAE MZ. 6 VILLA 11;
4725;LIBERTAD S/N VIA A LA PLAYA;AL LADO HSOSTERIA EQUUS ERRO 
4726;10 DE AGOSTO S/N 12 DE OCTUBRE;FRENTE A LA CANCHA DEPORTIVA DE MONTAÑITA
4727;COLOMBIA 401 Y CHILE;
4728;A LADO DE LA JUNTA PARROQUIAL;
4729;VICTOR EMILIO ESTRADA #1222 ENTRE LAURELES Y COSTANERA;
4730;URDESA CENTRAL VICTOR EMILIO ESTRADA 817 E HIGUERAS;
4731;KM. 1.5 VÍA A SAMBORONDÓN, C.C. LA TORRE, LOCAL A-2;
4732;AVENIDA MALECON DE SALINAS Y CALLE 472;
4733;VICTOR H.BRIONES #705 Y AYACUCHO;
4734;VIA A MANGLARALTO;
4735;AV. MALECON S/N 30AVA Y 37AVA;
4736;KM. 1.5 VIA SAMBORONDON C.C. LA PIAZZA, LOCAL 9B;
4737;CALLE 23 Y MALECON;
4738;COOPERATIVA COLINAS DE LA ALVORADA MZ.#758 SOLAR 10;
4739;AV. DEL PERIODITA 506 Y CALLE 10;
4740;Ulpiano Páez N23-48 y Veintimilla;
4741;CDLA. LA GARZOTA, MZ.37, SOLAR 19;
4742;CALLE SUCRE S/N ENTRE GUAYAQUIL Y 18 DE AGOSTO;
4743;SECTOR EL AGUACATAL S/N SIN NOMBRE;A UNA DEL RESTAURANTE EL AGUACATAL
4744;ALSACIO NORTHIA S/N Y HERNÁN MEVILLE;
4745;CDLA. GARZOTA, MZ. 42, SOLAR 33;
4746;AV. PRINCIPAL S/N ENTRE 5TA Y 6TA;
4747;SIXTO DURAN Y LAS PALMERAS , MZ. 12X  SOLAR 2;
4748;AV. ARMADA NACIONAL;
4749;AV. FRANCISCO DE ORELLANA SOLAR 4 MZ. 5 LOCAL 1;
4750;PRINCIPAL S/N CALLE MALECON;FRENTE AL TEMPLO EVANGELICO DIOS ES AMOR
4751;LOS RIOS S/N Y JOSE VICENTE TRUJILLO;
4752;AVENIDA TUTA DEL SPONDYLUS S/N LUZ DEL MAR;''
4753;diagonal c 321 AV. PRINCIPAL;
4754;CHIMBORAZO #124 ENTRE AV. 9 DE OCTUBRE Y VELEZ;
4755;GARCIA GOYENA 5221 Y CALLE 29 AVA ;
4756;COLOMBIA 2112 Y TUNGURAHUA;
4757;SUCRE 609 Y BOYACA;
4758;CDLA. ATARAZANA, AV. PLAZA DAÑÍN, BLOQUE BM-B4, DPTO 1;
4759;AVENIDA MALECON S/N CALLE 23 ; A MEDIA CUADRA DEL BANCO DE GUAYAQUIL 
4760;AVENIDA MALECON S/N CALLE 23 ; A MEDIA CUADRA DEL BANCO DE GUAYAQUIL 
4761;AV. 8 DE ABRIL S/N VÍA A LA TRONCAL;
4762;AVENIDA MALECON Y CALLE 19;
4763;GONZALEZ SUAREZ  ;
4764;TULCAN 2216 Y GOMEZ RENDON;
4765;VIA FLORES RECINTO PISAGUA BAJO;
4766;17 AVA # 922 Y LETAMENDI;
4767;FRANCISCO DE MARCOS 3315 Y 8 AVA.;
4768;CDLA. VERNAZA NORTE 9 VILLA 8;
4769;JOSE DE ANTEPARA #4013 Y EL ORO;
4770;CAÑAR 910 E/ LORENZO DE GARAYCOA Y SEIS DE MARZO;
4771;PANAMERICANA SUR SOLAR 7-8 KM 63 VIA GUAYAS - EL ORO;FRENTE A AGRIPAC
4772;KM 86 VÍA SANTA ELENA RECINTO AYAMPE;
4773;FEDERICO GARCÍA S/N INT. PRIMERA;
4774;BARRIO SAN PEDRO CARRETERA PRINCIPAL;
4775;SANTA LUCIA S/N PADRE OMAR;JUNTO AL CYBER OLONET
4776;CDLA. HUANCAVILCA, MZ. 1-18, SL. 5;
4777;PEDRO PABLO GOMEZ #226 Y 6 DE MARZO;
4778;COLON 810 ENTRE RUMICHACA Y LORENZO DE GARAICOA;
4779;CDLA. LAS DUNAS AV. PRINCIPAL EDIF. SUPERMAXI;
4780;c.c. Paseo Shopping.Av 4 de noviembre;
4781;BOLIVAR MADERO VARGAS Y 25 DE JUNIO;
4782;CALLE 11AVA, Nº174 ENTRE BRASIL Y GOMEZ RENDON;
4783;CALLE SEGUNDA S/N 27 AVA Y GRAL ENRIQUE GALLO;
4784;CALLE OCTAVA S/N CALLOE D; JOSE LUIS TAMAYO SECTOR LA MILINA 
4785;CAPITAN NAJERA #604 Y CORONEL;
4786;CDLA. LA GARZOTA, MZ 130, SOLAR # 11;
4787;AV. CIRCUVALANCION TRAMO 1 DIAGONAL A LA ENTRADA CIUDAD UNIVERSITARIA, GASOLINERA CABALLO DE TROYA;
4788;URDANETA # 100  Y ROCAFUERTE;
4789;6 DE MARZO 1331-B ENTRE PEDRO PABLO GOMEZ Y ALCEDO;
4790;CALLE 17 GENERAL ENRIQUEZ GALLO;
4791;LORENZO DE GARAYCOA 3123 Y SAN MARTIN;
4792;BOLIVIA # 1801 ENTRE ESMERALDAS Y LOS RIOS;
4793;AV. FELIPE PEZO S/N Y BENJAMIN CARRION C.C. CITY MALL LOCAL 16;
4794;BOLIVIA 1915 ENTRE LOS RÍOS Y TULCÁN;
4795;10 DE  AGOSTO SN AMAZONAS; CERCA&nbsp  PARQUE AMAZONAS&nbsp  
4796;AV. 12 S/N ENTRE CALLE 20 Y 20A BARRIO ABDON CALDERON;
4797;;A UNA CUADRA DEL RESTAURANTE MAR Y TIERRA
4798;Almeida 208 y Espejo;
4799;JOSE DE ANTEPARA # 1101 Y VELEZ;
4800;CALLE 9 S/N AVENIDA 2; SALINAS SECTOR CHIPIPE 
4801;VELEZ #722 Y RUMICHACA;
4802;CDLA. GARZOTA CALLE AV. GUILLERMO PAREJA, SOLAR#11 MZ. 16;
4803;URDENOR MZ. 228 VILLA 8;
4804;AVENIDA 12 DE FEBRERO S/N IGNACIO HERNÁNDEZ;FRENTE AL BANECUADOR
4805;CDLA. ATARAZANA, MZ E-2, SL.2;
4806;AV. JAMBELI S/N LUCAS APOLINARIO;DETRAS DE LA ESCUELA ZENON MACIAS
4807;Petrel S/N Jose de Villamil;
4808;CDLA LA FLORESTA UNO EDIFICIO MERCADO FLORESTA UNO LOCAL 21 ;
4809;C.C. GARZOCENTRO 2000, LOCAL 1102, URB. LA GARZOTA, AV. AGUSTIN FREIRE YCAZA S/N ENTRE AV. TRIGESIMA SEGUNDA Y TERCERA, PRIMERA ETAPA;
4810;CUENCA Y QUITO;
4811;CALLE 6 Y AVENIDA SEGUNDA;
4812;AV. ALBERTO SPENCER S/N RAMON UNAMUNO; A MEDIA CUADRA DE LA DIRECCIÓN DE EDUCACIÓN 
4813;AV. JOSE RODRIGUEZ S/N, MZ. 66, EDF. SAN EDUARDO SHOPPING, LOCAL C-2;
4814;CALLE NICOLAS SEGOVIA 2204 ENTRE PORTETE Y VENEZUELA;
4815;PEDRO PABLO GOMEZ #208 Y 6 DE MARZO;
4816;FINAL DE MALECON, SECTOR SUR;
4817;CHIMBORAZO # 2206 Y LETAMENDI;
4818;GOMEZ RENDON 2831 Y GUERRERO MARTINEZ;
4819;SANTA LUCIA S/N ALBERTO POTES Y RUTA SPONDYLUS;A UN COSTADO DE PANADERIA DELICIA - CASA DE DOS PISOS COLOR BLANCO
4820;TOMAS MARTINEZ 215 ENTRE PANAMA Y ROCAFUERTE;
4821;CDLA. LOS CEIBOS AV PRIMERA # 302 CC LOS CEIBOS LOCAL 16;
4822;6 DE MARZO 946 Y 10 DE AGOS;
4823;ELEODORO SOLORZANO N. 1435 SL. 25 MZ. 14;
4824;CDLA. ALBORADA 12 AVA ETAPA S/N MZ 26 C.C ALBODEGAS LC 5-6-7;
4825;SAMUEL CISNEROS Y MACHALA;
4826;MANABI 1025 Y 6 DE MARZO;
4827;CDLA. SAUCES TRES MZ169 SOLAR 1;
4828;RIOBAMBA 146 Y JULIAN CORONEL;
4829;CHONGON, HACIENDA EL REMANSO, KM 36 VIA A LA COSTA;
4830;AV. BALTRA;
4831;Camino de Orellana  N27-492 y Secundaria;JUNTO AL CAFÉ GUÁPULO
4832;SAMANES 2, MZ. 225, SL. 5-6, LC. 1. CENTRO THALIA VICTORIA;
4833;AVENIDA 38 S.O. SOLAR 2 CIUDADELA COGRA MANZANA 1;A DOS CUADRAS DE GRAN PRIX
4834;CDELA SAGRADA FAMILIA MZ N SL. 6;
4835;CERRO SANTA ANA: CALLE DIEGO NOBOA - ESCALON 117;
4836;CALLE GUAYAQUIL CC. BUENAVENTURA MORENO PATIO DE COMIDA LOCAL 14;
4837;PEDRO CARBO 903C.C.PASEO DEL PARQUE LOCAL 16;
4838;CDLA LA GARZOTA AV HERMANOMIGUEL ,S/N MZ 103 SI. 12;
4839;LA GARZOTA SOLAR 13, MZ. 108, LOCAL 1;
4840;AVENIDA MALECON ENTRE CALLES 30 Y 37 A MEDIA CUADRA DEL BANCO DEL PICHINCHA;
4841;VICTOR EMILIO ESTRADA 1022 Y JIGUAS;
4842;PADRE AGUIRRE Y SUCRE, MZ. 264, SL-21;
4843;MALECON Y CALLE 47;
4844;VELASCO IBARRA S/N  Y SUCRE;
4845;AV PRINCIPAL S/N BARRIO TURISTICO;VIA DURAN - EL TRIUFO- PIEDRERO- HUIGRA
4846;AV. AGUSTIN FREIRE ICAZA, CDLA. LA GARZOTA II, MZ. 152, SOLAR 1;
4847;CAPITAN NAJER # 419 Y CHIMBORAZO;
4848;CDLA. LOS ALMENDROS, AV. ERNESTO ALBÁN, MZ. P-19, SOLAR 26;
4849;MALECON 329;
4850;KM 4.5, AV. FRANCISCO DE ORELLANA S/N, C.C. LA GRAN MANZANA, LOCAL 37 ;
4851;CDLA. SANTA PAULA CALLE 3-A ENTRE AVENIDA 14 Y AVENIDA 18;
4852;7 DE OCTUBRE 926 DECIMA PRIMERA;''
4853;ALBORADA VI ETAPA MZ. 625 VILLA 11;
4854;SUCRE 1017 Y SEIS DE MARZO;
4855;24 DE MAYO Y EUGENIO ESPEJO;
4856;Federico Paez S/N Principal vía a Chone; Sucursal Banco de Guayaquil, Heladeria Pinguino, Eventos Zaychus 
4857;TODOS LOS SANTOS 103  Y  V.E. ESTRADA;
4858;VIA A ANCON S/N CALLEJON; VIA ANCON SECTOR LOS GIRASOLES 
4859;CDLA. ABDON CALDERON, SOLAR 1 MZ8;
4860;MALECON SIMON BOLIVAR SECTOR NORTE EDIFICIO  MALECON 2000 LOCAL #3;
4861;ALBORADA 12AVA ETAPA SOLAR 31 MZ 19;
4862;Av. 12 de Octubre N24-157 y Madrid;JUNTO A LA SUPERINTENDENCIA DE BANCOS
4863;Española  636 Lobo Marino; Diagonal al Banco del Pichincha por la parte de atrás, muro color rojo. 
4864;Eloy Alfaro S/N calle 4ta y 5ta;
4865;SAMANES  VI ,MZ 959 , SOLAR 2;
4866;AV. UNIDAD NACIONAL 1434 Y POLICIA NACIONAL ;
4867;PORTETE 2312 E/ TULCAN Y CARCHI;
4868;Malecon de tarqui Parque del maisco;
4869;AV. ANTONIO GIL;
4870;LOTIZACION SANTA ADRIANA MZ.9 SL. 4 (AV. JUAN TANCA MARENGO) KM. 6.5;
4871;SAUCES 9 MZ. R 23 V. 1;
4872;KM. 5 VIA SAMBORONDÓN;
4873;AV. JOAQUIN ORRANTIA Y JUAN TANCA MARENGO, C.C. MALL DEL SOL, PLANTA ALTA, LOCAL F1- F2.;
4874;AV. JOAQUIN ORRANTIA S/N Y JUAN TANCA MARENGO, C.C. MALL DEL SOL, PA, LOCAL F1-F2;
4875;AV. JOAQUIN ORRANTIA S/N Y JUAN TANCA MARENGO, C.C. MALL DEL SOL, PA, LOCAL F-16;
4876;C.C. CITY MALL, LOCAL FC-013;
4877;AV. JOAQUIN ORRANTIA C.C. MALL DE SOL LOCAL F-16;
4878;CDLA. ALBORADA V ETAPA , VILLA#3, MZ. CC;
4879;TERMINAL TERRESTRE (LOCAL INTERIOR);
4880;COOP. AGUIRRE ABAD, MZ. 1, SL. 3;
4881;CALLE GOMEZ RENDON S/N ENTRE 29AVA Y 30AVA;
4882;CARRETERO PRINCIPAL;
4883;CDLA. URDENOR 1 MZ 101 SOLAR 1 AV. FCO. DE ORELLANA Y AGUSTÍN FREIRE;
4884;AGUSTIN FREIRE MZ. 32 SOLAR 8;
4885;AV.PRINCIPAL #706 ENTRE LA CALLE SEXTA Y CALLE SEPTIMA;
4886;QUISQUIS 407 Y LORENZO DE GARAYCOA;
4887;COOP. UNION DE BANANEROS BLOQUE 1MZ41 SOLAR13;
4888;KENNEDY VIEJA, AV. KENNEDY S/N OF. KEN003 MZ. 20, SECTOR 32;PLAZA GUAYARTE
4889;ENRIQUE GALLO CALLE 12 DIAGONAL A CNEL;
4890;ALBORADA VI ETAPA, MZ.747, SOLAR 1, C.C. ALBOCENTRO 3, LOCAL 11.;
4891;ALBORADA 3 ETAPA MZ.747 LOCAL 23;
4892;AV. BALTRA Y OPUNTIA ;
4893;FRANCO DAVILA 102 ENTRE CORONEL Y CACIQUE ALVAREZ;
4894;47 6 CALLES 35 Y 36;DIAGONAL AL COUNTRY CLUB
4895;CDLA. ALBORADA 12 ETAPA, MZ. 23 SOLAR 5;
4896;AVENIDA 25 DE AGOSTO Y 10 DE AGOST0 CALLE PRINCIPAL; FRENTE A LA COOPERATIVA RIRCAY 
4897;BARRIO ROCAFUERTE AV. 5 Y CALLE 25 A DOS CUADRAS DE ESCUELA RUMBOS NUEVOS;
4898;MAPASINGUE, AV. SEXTA S/N Y CALLEJON TERCERO;
4899;RUMICHACA 617  Y  LUIS  URDANETA;
4900;HURTADO #218 Y JOSE DE ANTEPARA;
4901;ALBORADA ETAPA IX AV. ROLANDO PAREJA;
4902;via principal 675 12;
4903;URDESA CENTRAL TERCERA Y LAS MONJAS 218;
4904;10 DE AGOSTO 1903 Y ESMERALDAS ;
4905;RUMICHACA 712 Y VICTOR MANUEL RENDON;
4906;CHIPIPE SECTRO ENSENADA SOLAR #6 DIAGONAL AL CONDOMINIO BIZCAYA;
4907;LUIS IBARRA S/N ANGEL SERRANO; A LA VUELTA DEL INSTITUTO ECUATORIANO DE SEGURIDAD SOCIAL 
4908;VICTOR EMILIO ESTRADA  606 LAS MONJAS;
4909;URB. VOLARE, MZ. 1, SOLAR 11;
4910;Malecon;
4911;CDLA. SAUCES II . MZ F-38 SL 18;
4912;CALLE SANTA ELENA #1923 Y FRANCISCO DAVILA;
4913;CERRO SANTA ANA, MZ. 60, SOLAR 9;
4914;CALLE CUARTA Y AV. PRINCIPAL, MZ. 22, SL. 1;
4915;URDENOR 1, SOLAR #3, MZ. #122;
4916;LEONARDO  AVILES  Y  JAIME   ROLDOS AGUILERA;
4917;CALLE MALECON# 2300 Y GENERAL FRANCO CENTRO COMERCIAL LA UNION LOCAL # 10 ;
4918;PADRE SOLANO 418 Y BOYACA;
4919;CDLA. BEATA MERCEDES MOLINA, BLOQUE 17, LOCAL 1;
4920;SAN LORENZO AV. 13 Y CALLE 52 ATRAS DE LA IGLESIA;
4921;AV.25 DE AGOSTO 15-12;
4922;9 DE OCTUBRE 623 Y CALLE 19;
4923;REPÚBLICA DEL SALVADOR N34-102 Y SUIZA;DIAGNAL AL MINISTERIO DE TRABAJO
4924;MAPASINGUE, CALLE SEGUNDA 720 Y AV. SEPTIMA;
4925;ALBORADA IV ETAPA, EDIF. M-1, LOCAL 3;
4926;VALLE DE SANTA ELENA AVENIDA CEMENTERIO Y CALLE OLMEDO;
4927;AV. ALSACIO NORTHIA S/N ESPAÑOLA;
4928;AV. CARLOS JULIO AROSEMENA S/N, LOCAL 47-B, C.C. AVENTURA PLAZA,  KM. 2,5;DENTRO DE C.C. AVENTURA PLAZA
4929;URB PUERTO AZUL, VIA GUAYAQUIL SALINAS KM 10, C.C PIAZZA BLU, LOCAL 1-A;
4930;ELOY  ALFARO 1600  Y  SAN  MARTIN;
4931;AV. GENERAL ENRIQUEZ S/N JOSE ALBERTO ESTRELLA;JUNTO A HOTEL SUIT SALINAS
4932;Karl Angermeyer 639 San Cristobal; Av Karl Angermeyer 639 entre San Cristobal e Islas Duncan , frente al Consejo de Gobierno de Galapagos. Barrio Miraflores 
4933;FRANCISCO PACHECO S/N CORDOVA;A UNA CUADRA DE PACIFICTEL
4934;CALLE PEDRO CARBO # 103 Y LUIS URDANETA ;
4935;JOSE MASCOTE # 2511 Y CALLE BRASIL;
4936;GRAL ENRIQUEZ GALLO Y SIXTO DURAN BALLEN;
4937;VICENTE ROCAFUERTE 1 MALECON;MALECON
4938;QUITO 1126 Y CUENCA;
4939;CDLA. GARZOTA 3 SOLAR #23 MZ. #42;
4940;13 ELEODORO SOLORZANO 1435 SN; 300 metros del centro comercial Paseo Shopping 
4941;SALANGO S/N BARRIO MARIA AUXILIADORA; FRENTE AL PARQUE DE SALANGO 
4942;CHILE 1111 AV. OLMEDO;
4943;CDLA KENNEDY NORTE AV. MIGUEL H. ALCIVAR S/N ARBOLEDA;
4944;JOSE DE ANTEPARA 1733 E/ COLON Y ALCEDO ;
4945;AV. DEL PESCADOR  S/N ENTRADA 7;A TRES CUADRAS DEL YACTH CLUB DE PUNTA BLANCA
4946;PORTETE 2610 Y LIZARDO GARCIA;
4947;SAUCES 8 MZ. 454 F7 VILLA 4;
4948;PEDRO  MONCAYO 1212, ENTRE  CLEMENTE  BALLEN  Y  10  DE  AGOSTO;
4949;LOTIZACION RECREO DEL PACIFICO LOTE 12;
4950;LOS LAURELES S/N S/N;FRENTE A IGLESIA TESTIGOS DE JEHOVA - VILLA CON CERAMICAS
4951;AV. AGUSTIN FREIRE S/N Y AV. RODOLFO BAQUERIZO NAZUR C.C. LA GARZOTA LOCAL 24;
4952;av 11  577 calle 38;
4953;MARTINEZ Y 24 DE MAYO;
4954;TUGURAHUA 1324 E/ COLON Y ALCEDO;
4955;BARRIO LA ESPERANZA CALLE 23 ENTRE AV. 19 Y 20;
4956;VIA PLAYA MANN SIN NUMERO LUZ MARIA PIZARRO;FRENTE A LAS CABAÑAS DON JORGE
4957;AV ANTONIO JOSE DE SUCRE 13 BARRIO BAZAN MZ 60;DIAGONAL A LAS CANCHAS DEL RACING
4958;LA ATARAZANA, SOLAR 10, MZ. D-4;
4959;CHILE 416 Y C. BALLEN;
4960;CDLA. ALBORADA I ETAPA, MZ. C SL. 1 PEATONAL 1 N-E;
4961;AV. PRINCIPAL 411 Y CALLE TERCERA;
4962;CDLA: GUASMO NORTE, MZ 1, SOLAR # 1;
4963;ATARAZANA MZ. A VILLA 6;
4964;GENERAL ENRIQUEZ GALLO;
4965;CALLE VICENTE ROCAFUERTE S/N;
4966;VELOZ S/N Y TNTE LATUS;
4967;AV. 15 DE MAYO S/N Y VICENTE ROCAFUERTE;
4968;CACIQUE ALVAREZ 501 Y MANABI;
4969;CALLE 17AVA #1117 Y GOMEZ RENDON;
4970;RUMICHACA #719 DIAGONAL A COMERCIAL GALLARDO;
4971;;BARRIO CENTRAL
4972;SECTOR CARBO VITERI CALLE 13 A TRES CIADRAS DE IGLESIA SAN LORENZO;
4973;ELOY ALFARO YALFONSO ANDRADE;
4974;NICOLAS SEGOCIA Y BRASIL (ESQUINA);
4975;AV PRINCIPAL S/N SIN NOMBRE;FRENTE A GASOLINERA ARTESANAL
4976;PADRE AGUIRRE 504 Y BAQUERIZO MORENO;
4977;MONTAÑITA, VÍA PRINCIPAL A OLÓN;
4978;MALECON DEL SALADO, BLOQUE NORTE, L 7, PLANTA BAJA, PATIO DECOMIDA;
4979;PORTETE #3326 Y NICOLAS SEGOVIA;
4980;TUNGURAHUA Y PEDRO PABLO GOMEZ;
4981;URB. LA GARZOTA - AV. AGUSTIN FREIRE YCAZA  S/N  Y AV. 32ava Y AV. 33ava;
4982;ALBORADA 8VA ETAPA, AV. FRANCISCO DE ORELLANA , S/N, MZ. 802, C.C. GALERIAS, LOCAL 1-2.;
4983;sucre s/n soasty; junto a la tienda jalisco 
4984;CDLA. SAGRADA FAMILIA, MZ. H, SOLAR 7, FRENTE AL HOGAR SAN JOSÉ;
4985;TULCAN 810 Y HURTADO;
4986;XIMENA 617 Y JUNIN;
4987;CALLE ALEJO LASCANO #1602 ENTRE TULCAN Y CARCHI;
4988;TUNGURAHUA 903 E/ AGUIRRE Y CLEMENTE BALLEN ;
4989;HURTADO # 117 Y MACHALA;
4990;AV. SIMON BOLIVAR S/N, C.C. MALECON LOCAL C-31;
4991;VIA CALACALI - LA INDEPENDENCIA KM 96;
4992;CERRO SANTA ANA, CALLE DIEGO NOBOA S/N Y CALLEJON DE LAS CRUCES;
4993;PARQUE DEL MARISCO;
4994;LA 29 AVA Y LA K ;
4995;ALBORADA DECIMA ETAPA S/N. C.C. LA ROTONDA, LC. H. PATIO DE COMIDAS;
4996;Ave.Baltra  S.N Indefatagble;
4997;AV. PUNTILLA Y RIO VINCES;
4998;CHIPIPE CALLE 17 Y AVENIDA 5 SECTOR CEVICHELANDIA;
4999;CDLA. ALBORADA CUARTA ETAPA CALLE A S/N Y CALLE TERCERA C.C. ALBOCENTRO LOCAL #29;
5000;AV. ARGENTINA DIAGONAL AL POLIDEPORTIVO;
5001;AV. FCO. DE ORELLANA Y LUIS PLAZA DAÑIN C.C. SAN MARINO,SEGUNDO PISO;
5002;AV. DEL BOMBERO, KM. 6.5  C.C. RIOCENTRO CEIBOS, PLANTA ALTA;
5003;EDIF. FUNDACION TERMINAL TERRESTRE, ISLA IPO32;
5004;10 DE AGOSTO S/N S/N;A UN COSTADO DE BAZAR Y VARIEDADES JERLIL - CASA COLOR AZUL-CELESTE
5005;BARRIO EL RECUERDO SOLAR #12 Y OLMEDO MZ. #168;
5006;VIRGILIO STOPPER S/N CESAR RUPERTI;FRENTE AL PARQUE CENTRAL DE LEONIDAS PLAZA A LADO DEL CHIFA CHINA
5007;CERRO SANTA ANA CALLE DIEGO NOBOA, ESCALON 315;
5008;GARCIA MORENO 4502 Y CHAVEZ FRANCO ;
5009;CALLE 43 Y ANTONIO JOSE DE SUCRE A UN COSTADO DE ZONA CINCO;
5010;CHILE 123 ENTRE 9 DE OCTUBRE Y VELEZ ;
5011;GENERAL GOMEZ #305 Y ELOY ALFARO;
5012;SAN LORENZO LOTE ZCALLE 52 DIAGONAL A ITALIAN GOURMET;
5013;AV. 8 Y CALLE 18;
5014;TUNGURAHUA 219 Y COLON;
5015;15 AVA. 4205 E/ CUENCA Y BRASIL, LC. 2;
5016;ADOLFO ALVEAR #403-B ENTRE LA 6TA Y LA 7MA CDLA. MIRAFLORES;
5017;AV. PRINCIPAL S/N CALLEJON A;FRENTE A HOSTAL DE LEONARDO 
5018;CALLE NUEVE DE OCTUBRE 825 E/ RUMICHACA Y GARCIA AVILES;
5019;El Progreso SN Km 0,5; Cerca a la gasolinera. 
5020;Los Colonos 089 Moisés Brito; Frente al Hotel Ninfas 
5021;AV. CHARLES DARWIN Y 12 DE FEBRERO;
5022;;Cerro Santa Ana
5023;AV. 25 DE JULIO FRENTE A BODEGA ALMAGRO;
5024;BOLIVIA # 1807 ENTRE ESMERALDAS Y LOS RIOS;
5025;CALLE NICOLAS AUGUSTO GONZALEZ #4104 Y LA 29AVA;
5026;NICOLAS AUGUSTO GONZALES 5122 ENTRE CALLE 29 AVA. Y CALLE 30 AVA.;
5027;LIZARDO GARCÍA 2401 Y AYACUCHO;
5028;PORTETE 2817-A ENTRE ABEL CASTILLO Y VALENZUELA;
5029;AVENIDA FELIX SARMIENTO ENTRE OLMEDO Y RUMIÑAHUI;
5030;CALLE PICHINCHA # 338 ENTRE LUQUE Y 9 DE CTUBRE ;
5031;EDIF. WORLD TRADE CENTER PISO 1 OFIC.96;
5032;CALLE 12 DE FEBRERO VÍA AL PROGRESO;
5033;CHIMBORAZO 621-625 ENTRE SUCRE Y 10 DE AGOSTO;
5034;CDLA. BOLIVARIANA, MZ. E, SOLAR 3;
5035;GIOVANNY FARINA 18 ILALO;JUNTO A LAS ALITAS DEL CADICAC
5036;AVENIDA 57 S/N CALLE 53;DIAGONAL A SUPERMAXI
5037;CALLES 29 AVA S/N Y CALLE B ;
5038;JOSE DE ANTEPARA 2019 ENTRE AYACUCHO Y MANABI;
5039;EL ORO 1225 Y MACHALA;
5040;JOSE MASCOTE 902 Y 9 DE OCTUBRE;
5041;ALBORADA 8AVA ETAPA, SOLAR #5, MZ. #807 ;
5042;BARRIO LOJA – PASAJE SB;
5043;AV   BALTRA SIN NUMERO THOMAS DE BERLANGA;
5044;Díaz de Pineda  OE1-59 y Francisco Gómez;REDONDEL DE LA VILLAFLORA
5045;CDLA. MALDONADO, MZ. 17, SOLAR 41;
5046;MALECON 103;
5047;SAUCES 6 MZ.259 F 41 VILLA;
5048;VIA CALUMA GUARANDA BARRIO EL PARAISO SN BARRIO EL PARAISO;
5049;JUNIN #108 E/ MALECON SIMON BOLIVAR Y PANAMA;
5050;VICENTE ROCAFUERTE S/N Y 15 DE MAYO;
5051;QUISQUIS  1710  Y  TUNGURAHUA;
5052;PALMAR BARRIO PABLO MARIA AVENIDA PRINCIPAL;
5053;Av. Jaime Roldós Aguilera callejon S/N  Diagonal al  Parque de la Madre; desde Guayaquil a Playas&nbsp  es una hora 24 minutos&nbsp     Av. Jaime Roldós y callejon S/N&nbsp  diagonal al parque de la madre    &nbsp     &nbsp  
5054;LA GARZOTA, MZ. 22, SOLAR 11;
5055;PORTETE 5827 ENTRE LA 33 Y LA 34;
5056;CDLA. ALBORADA, NOVENA ETAPA, SOLAR 7, MZ. 911;
5057;RUTA DEL SPONDYLUS LOTE 1 SN;A TRESCIENTOS METROS DEL BYPASS DE CANOA
5058;AV. LAS PALMAS S/N KM. 2 VIA DATA;
5059;CDLA. COLINA DE LOS CEIBOS, AV. LEOPOLDO CABRERA CALVO, SOLAR #24, MZ. 801, C.C. PLAZA CEIBOS SHOPPING LOCAL # 15-A;
5060;KM 27 VÍA A LA COSTA, FINCA LAGUNA PARK;
5061;RT. Spondylus S/N Mar y selva;
5062;EL ORO # 708 Y NOGUCHI;
5063;CALLE GARCIA AVILES # 934 Y SUCRE;
5064;CALLE LAS MOYAS S/N Y RIELES DEL TREN;
5065;URB. VERNAZA NORTE, AV. CONSTITUCION S/N Y JUAN TANCA MARENGO C.C. MALL DEL SOL ISLA PB4;
5066;HUANCAVILCA # 405 ENTRE CHIMBORAZO Y CORONEL;
5067;CDLA: GUAYASUR, MZ A-4 SOLAR # 31;
5068;LIBERTADOR BOLIVAR VIA PRINICPAL RUTA SPONDYLUS;
5069;COOP. QUISIQUIS Y COSTANERA SOLAR 8 MZ G;
5070;PANAMERICANA FRENTE AL CEMENTERIO;
5071;C.C. RIOCENTRO CEIBOS, LOCAL #17;
